Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2018-01-01,108.32608795166016,109.50671105734872,105.89640981042417,106.59793978462669,8934389
2018-01-02,109.06183624267578,110.87554344943385,107.60745062137366,108.08654374789913,7665379
2018-01-03,106.06752014160156,109.64360214943896,105.65687284070295,109.64360214943896,5860470
2018-01-04,106.64927673339844,107.11125667935463,105.21199728100979,106.11885093032983,3905556
2018-01-05,105.93062591552734,107.41923791323953,105.29754181564537,107.1112489839802,4301878
2018-01-08,106.47815704345703,107.07702165426704,105.77662714303804,106.08461604961825,4760660
2018-01-09,108.54852294921875,109.50670919590317,104.8526696688615,106.97436579730633,12201522
2018-01-10,111.79949951171875,112.19304052955775,107.82988381328204,108.27475747905605,10163032
2018-01-11,109.88314056396484,111.57707627302233,109.16450433690146,110.72155529741174,5643897
2018-01-12,109.09605407714844,110.78998971781945,108.54852206731178,109.8489166826402,8433768
2018-01-15,107.79566192626953,110.96108927615796,107.24812993927877,109.11316272809803,3187225
2018-01-16,113.59610748291016,114.29763751275158,108.13788609374657,108.44587505714641,16443849
2018-01-17,111.45729064941406,114.1265187077717,111.21774757643838,113.95541452357561,8113347
2018-01-18,111.33753204345703,112.32993781949983,110.24246792232229,111.90217730933034,4722081
2018-01-19,112.56947326660156,112.92879485561251,109.67781519936125,111.90216970100684,4288268
2018-01-22,110.03713989257812,112.56947644224604,108.480088912602,108.480088912602,12193514
2018-01-23,107.88121795654297,110.51621965642812,107.24813385589495,110.22534393042737,8613403
2018-01-24,107.43634796142578,110.6702213898646,106.83748328529794,108.30898213153961,17542056
2018-01-25,106.75193786621094,108.82230151808498,105.65687374626387,108.0352193953276,22129831
2018-01-29,106.47815704345703,108.17208558627811,105.9477313175552,107.48766888820953,9397269
2018-01-30,105.16065979003906,106.87170170540513,104.27091938649819,105.9306286519538,6079993
2018-01-31,104.61134338378906,106.07047729422865,103.52986626493829,105.09200065716472,7530432
2018-02-01,103.25520324707031,106.121970640814,102.99770904430932,104.73149915191368,5872873
2018-02-02,103.20372009277344,103.83887116772463,101.34976012901389,102.75739394011669,6713662
2018-02-05,102.56855010986328,104.90315997998391,101.60723564365192,102.31105591194708,5851054
2018-02-06,101.16091918945312,101.67590763423944,99.59879176458801,100.14811137536451,6489310
2018-02-07,99.34129333496094,102.3797236335231,98.87780515127815,102.3797236335231,6662763
2018-02-08,99.49578094482422,101.16090867964428,98.55163556080514,99.59878141707169,14125508
2018-02-09,97.84783172607422,99.22114131836673,97.50450607424567,99.22114131836673,8405269
