Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2018-01-01,8962.4931640625,9089.800146324002,8941.971158823095,9052.657230208672,426354
2018-01-02,8871.6328125,9024.42932041017,8844.657947837279,9006.229652081236,451227
2018-01-03,8743.9990234375,8912.442506677144,8730.442222106532,8911.513933796681,658281
2018-01-04,8715.8173828125,8810.299675389533,8698.128250429014,8775.013905188775,562919
2018-01-05,8760.0185546875,8851.158362785605,8740.24012997228,8782.443956695999,732512
2018-01-08,8774.041015625,8816.80162571797,8751.801508414099,8810.301613987582,294549
2018-01-09,8713.310546875,8813.503931171323,8692.371408158497,8788.757099263941,427590
2018-01-10,8706.16015625,8779.517417831503,8650.492934459488,8717.256784142268,394826
2018-01-11,8672.6845703125,8756.442023200652,8659.870446274579,8737.870566099486,368996
2018-01-12,8783.5107421875,8816.567574825756,8686.892006138205,8716.513844481358,685141
2018-01-15,8690.00390625,8829.382346544386,8672.871553564402,8821.39698171353,385462
2018-01-16,8656.203125,8736.618085049031,8635.728273198029,8701.656951412766,364816
2018-01-17,8648.63671875,8699.614834081436,8594.871977515126,8650.586359391844,390461
2018-01-18,8699.5224609375,8838.99431354434,8665.443648851953,8682.15796364828,686971
2018-01-19,8657.966796875,8724.870287738702,8619.012985397045,8658.941616982056,542339
2018-01-22,8645.1064453125,8688.42473508272,8609.356387621454,8681.228294898161,454188
2018-01-23,8722.45703125,8755.792254234822,8626.442230779963,8679.370886017257,561948
2018-01-24,8761.0380859375,8839.966773624124,8673.2879566859,8746.22716847443,568489
2018-01-25,8615.486328125,8807.515046242574,8589.300387743153,8807.515046242574,705224
2018-01-29,8942.8076171875,9020.157561922793,8785.22860750994,8803.800066356805,1546624
2018-01-30,8887.8828125,8984.408158251377,8867.872245496425,8932.872356196398,573988
2018-01-31,8830.4501953125,8900.371555750076,8783.27887171539,8875.346333863661,462650
2018-02-01,8730.3037109375,8880.593795307559,8646.87178948125,8863.22929881857,550971
2018-02-02,8348.4287109375,8690.515393899921,8301.443276147591,8690.515393899921,984189
2018-02-05,8432.0,8468.586140567964,8067.442586541061,8218.011067981253,651062
2018-02-06,8342.857421875,8462.550855902515,8042.928313798354,8078.585883179007,840339
2018-02-07,8284.5419921875,8515.013980525011,8239.227813434942,8515.013980525011,509440
2018-02-08,8385.6640625,8412.871069032424,8278.22798900928,8346.849893896615,465683
2018-02-09,8297.8203125,8344.666998832197,8236.44200369682,8269.870629641926,364892
2018-02-12,8466.587890625,8496.44187150933,8320.01302390422,8320.01302390422,408523
2018-02-14,8358.642578125,8503.407475429172,8344.157201660555,8496.350683163846,357737
2018-02-15,8375.958984375,8440.726938606884,8358.08395757982,8402.655452965204,250781
2018-02-16,8205.751953125,8422.15567247653,8177.801366509963,8394.205992670908,632659
2018-02-19,8101.66015625,8232.588955389849,8070.8322566519955,8223.442873634776,436138
2018-02-20,8099.61767578125,8142.610424503032,8032.156484319179,8120.370919696095,517802
2018-02-21,8155.42333984375,8166.79835745362,8086.1984140370005,8144.512608666936,471756
2018-02-22,8017.3447265625,8142.655821727813,7987.119859800638,8142.655821727813,638857
2018-02-23,8077.47021484375,8114.752781596581,8036.84514818697,8046.084630422816,567960
