Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1069.273193359375,1089.1583562565497,1064.9889478753878,1084.1062265227956,1351760
2018-01-02,1063.453125,1078.9733273932384,1059.0072506491017,1075.0932521263255,1920290
2018-01-03,1066.46435546875,1078.7309685221287,1063.4533052465397,1063.7766613526576,1257120
2018-01-04,1073.921142578125,1075.901537945301,1067.009789697819,1071.0514934466744,913082
2018-01-05,1086.89501953125,1091.0579943845476,1071.0515595921656,1071.0515595921656,1153706
2018-01-08,1097.079833984375,1102.1118332099559,1083.9241695253716,1091.2598210750643,1242220
2018-01-09,1094.8978271484375,1099.7478728943886,1081.782514845315,1097.322850021413,2149396
2018-01-10,1134.3446044921875,1138.1437665157655,1089.0976524484572,1095.7058774944035,3365850
2018-01-11,1127.8372802734375,1140.5281888777115,1124.4826468756776,1135.7186015296038,2520744
2018-01-12,1122.1180419921875,1133.697479451597,1107.6487282236708,1133.697479451597,3360314
2018-01-15,1109.892578125,1134.9106909959135,1105.4264746523982,1122.4419924031977,1457214
2018-01-16,1152.2293701171875,1156.5943320500148,1111.6910541324344,1113.8937633562905,4267752
2018-01-17,1167.6279296875,1182.1982907493946,1156.796144416864,1159.9689211797477,4280806
2018-01-18,1179.4503173828125,1185.4320604366437,1159.1812065522472,1170.8819226338073,2209478
2018-01-19,1196.0614013671875,1205.2360490749625,1173.5692609650175,1184.4415031743956,1820000
2018-01-22,1262.5430908203125,1269.9569661038558,1183.7861080031655,1199.586127925179,4367110
2018-01-23,1256.708984375,1273.0559638221366,1251.8677171278891,1261.9553802437663,3239610
2018-01-24,1286.121826171875,1320.3349308402346,1248.8701568357965,1251.8478928432946,5621538
2018-01-25,1264.4268798828125,1288.2281897083335,1248.2014565519964,1286.2835522728299,3833844
2018-01-29,1295.945556640625,1306.5396291086656,1264.8113866906212,1268.6195556586401,3141060
2018-01-30,1277.3099365234375,1297.9512219894348,1273.6029499357069,1288.3091400901064,1574758
2018-01-31,1260.9022216796875,1276.155276131051,1255.3317026172108,1270.8886035628911,3043214
2018-02-01,1271.53662109375,1292.3601908755536,1251.3611977053088,1265.6217041677837,2400630
2018-02-02,1277.634033203125,1292.3605004122364,1257.2965930723558,1264.0014925661999,2456490
2018-02-05,1257.1953125,1291.550244687412,1246.5202310208335,1259.9502073330775,2757742
2018-02-06,1214.27197265625,1246.6417155986096,1209.3091461769643,1219.437363481629,2657306
2018-02-07,1197.17578125,1227.9452912845752,1194.096763061186,1226.3247762185447,2180324
2018-02-08,1204.933837890625,1226.5677712184724,1198.7759010329967,1207.1823221030998,2755004
2018-02-09,1203.920654296875,1212.9550419595396,1173.5157327453105,1195.1293833602679,2102458
2018-02-12,1202.13818359375,1224.8456627093835,1197.3779222703947,1206.594598449657,1974562
2018-02-14,1179.6536865234375,1205.034958252546,1171.8346833747348,1203.2321554444122,2847532
2018-02-15,1185.3458251953125,1192.2937427123293,1176.939404821109,1187.8170508759586,2465236
2018-02-16,1188.2628173828125,1215.2241536031293,1184.1912539466161,1184.1912539466161,2515756
2018-02-19,1184.434326171875,1196.4666289761462,1172.9286115594798,1193.1040409297118,1568224
